2020-02-01 12:57:59 meter=4502 pv=2878, total=7380
2020-02-01 12:59:35 meter=4501 pv=2898, total=7399
2020-02-01 12:59:37 meter=4502 pv=2898, total=7400
2020-02-01 12:59:39 meter=4502 pv=2898, total=7400
2020-02-01 12:59:41 meter=4502 pv=2902, total=7404
2020-02-01 12:59:43 meter=4502 pv=2902, total=7404
2020-02-01 12:59:45 meter=4503 pv=2902, total=7405
2020-02-01 12:59:47 meter=4504 pv=2902, total=7406
2020-02-01 12:59:49 meter=4505 pv=2902, total=7407
2020-02-01 12:59:51 meter=4506 pv=2902, total=7408
2020-02-01 12:59:53 meter=4505 pv=2902, total=7407
2020-02-01 12:59:55 meter=4504 pv=2902, total=7406
2020-02-01 12:59:57 meter=4503 pv=2902, total=7405
2020-02-01 12:59:59 meter=4504 pv=2902, total=7406
2020-02-01 13:00:01 meter=4505 pv=2906, total=7411
2020-02-01 13:00:03 meter=4504 pv=2906, total=7410
2020-02-01 13:00:05 meter=4505 pv=2906, total=7411
2020-02-01 13:00:07 meter=4504 pv=2906, total=7410
2020-02-01 13:00:09 meter=4505 pv=2906, total=7411
2020-02-01 13:00:11 meter=4505 pv=2906, total=7411
2020-02-01 13:00:13 meter=4504 pv=2906, total=7410
2020-02-01 13:00:15 meter=4503 pv=2906, total=7409
2020-02-01 13:00:17 meter=4504 pv=2906, total=7410
2020-02-01 13:00:19 meter=4503 pv=2906, total=7409
2020-02-01 13:00:21 meter=4504 pv=2910, total=7414
2020-02-01 13:00:23 meter=4504 pv=2910, total=7414
2020-02-01 13:00:25 meter=4505 pv=2910, total=7415
2020-02-01 13:00:27 meter=4504 pv=2910, total=7414
2020-02-01 13:00:29 meter=4503 pv=2910, total=7413
2020-02-01 13:00:31 meter=4503 pv=2910, total=7413
2020-02-01 13:00:33 meter=4504 pv=2910, total=7414
2020-02-01 13:00:35 meter=4504 pv=2910, total=7414
2020-02-01 13:00:37 meter=4503 pv=2910, total=7413
2020-02-01 13:00:39 meter=4504 pv=2910, total=7414
2020-02-01 13:00:41 meter=4503 pv=2914, total=7417
2020-02-01 13:00:43 meter=4504 pv=2914, total=7418
2020-02-01 13:00:45 meter=4503 pv=2914, total=7417
2020-02-01 13:00:47 meter=4502 pv=2914, total=7416
2020-02-01 13:00:49 meter=4502 pv=2914, total=7416
2020-02-01 13:00:51 meter=4503 pv=2914, total=7417
2020-02-01 13:00:53 meter=4503 pv=2914, total=7417
2020-02-01 13:00:55 meter=4502 pv=2914, total=7416
2020-02-01 13:00:57 meter=4502 pv=2914, total=7416
2020-02-01 13:00:59 meter=4501 pv=2914, total=7415
2020-02-01 13:01:01 meter=4502 pv=2918, total=7420
2020-02-01 13:01:03 meter=4502 pv=2918, total=7420
2020-02-01 13:01:05 meter=4501 pv=2918, total=7419
2020-02-01 13:01:07 meter=4501 pv=2918, total=7419
2020-02-01 13:01:09 meter=4501 pv=2918, total=7419
2020-02-01 13:01:11 meter=4500 pv=2918, total=7418
2020-02-01 13:01:13 meter=4501 pv=2918, total=7419
2020-02-01 13:01:15 meter=4500 pv=2918, total=7418
2020-02-01 13:01:17 meter=4500 pv=2918, total=7418
2020-02-01 13:01:19 meter=4501 pv=2918, total=7419
2020-02-01 13:01:21 meter=4501 pv=2922, total=7423
2020-02-01 13:01:23 meter=4501 pv=2922, total=7423
2020-02-01 13:01:25 meter=4500 pv=2922, total=7422
2020-02-01 13:01:27 meter=4499 pv=2922, total=7421
2020-02-01 13:01:29 meter=4499 pv=2922, total=7421
2020-02-01 13:01:31 meter=4500 pv=2922, total=7422
2020-02-01 13:01:33 meter=4500 pv=2922, total=7422
2020-02-01 13:01:35 meter=4501 pv=2922, total=7423
2020-02-01 13:01:37 meter=4501 pv=2922, total=7423
2020-02-01 13:01:39 meter=4502 pv=2922, total=7424
2020-02-01 13:01:41 meter=4503 pv=2926, total=7429
2020-02-01 13:01:43 meter=4503 pv=2926, total=7429
2020-02-01 13:01:45 meter=4502 pv=2926, total=7428
